id	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
1117	0.0705	0.0905	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305
1119	0.01	0.01	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505
1121	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.0905
1123	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0705	0.0905
1125	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1505	0.1505
1127	0.1705	0.1705	0.1905	0.1905	0.2205	0.2205	0.2205	0.2205	0.2205	0.2205	0.2205	0.2205	0.2205
1129	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0505	0.0705
1131	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705
1133	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0705	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105
2013	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0905	0.0905
2016	0.0505	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0905	0.0905	0.1105	0.1105	0.1305	0.1305
2020	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1505	0.1505	0.1505	0.1705	0.1705	0.1905	0.1905
2050	0.0305	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505	0.0705	0.0705	0.0705	0.0905
2060	0.0305	0.0305	0.0505	0.0505	0.0705	0.0705	0.0705	0.0905	0.1105	0.1105	0.1305	0.1505	0.1705
2068	0	0.01	0.01	0.01	0.01	0.0305	0.0305	0.0305	0.0305	0.0305	0.0505	0.0505	0.0505
2070	0.0505	0.0705	0.0705	0.0705	0.0905	0.0905	0.1105	0.1305	0.1305	0.1505	0.1705	0.1905	0.2205
2090	0.0905	0.0905	0.0905	0.0905	0.1105	0.1105	0.1105	0.1105	0.1305	0.1305	0.1305	0.1505	0.1505
